부품명,Part No,제목,정리,부품체계_1,부품체계_2,부품체계_3,data,target,target_빈도,data_len,predict
COVER ASSY-COWL TOP,86150-M0000CA,CORPORATION  NAJEON_COVER ASSY-COWL TOP_MARKER SMUDGES (K200500966) ,SMUDGES,TRIM,EXTERIOR TRIMS,커버_카울탑,SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,마커오염,168,5,마커오염
COVER ASSY-COWL TOP,86150-M0000CA,CORPORATION  NAJEON_COVER ASSY-COWL TOP_MARKER SMUDGES (K200500966) ,SMUDGES,TRIM,EXTERIOR TRIMS,커버_카울탑,SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,마커오염,168,5,마커오염
COVER ASSY-COWL TOP,86150-M0000CA,CORPORATION  NAJEON_COVER ASSY-COWL TOP_MARKER SMUDGES (K200500966) ,SMUDGES,TRIM,EXTERIOR TRIMS,커버_카울탑,SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,마커오염,168,5,마커오염
COVER ASSY-COWL TOP,86150-M0000CA,CORPORATION  NAJEON_COVER ASSY-COWL TOP_MARKER SMUDGES (K200500966) ,SMUDGES,TRIM,EXTERIOR TRIMS,커버_카울탑,SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,마커오염,168,5,마커오염
COVER ASSY-COWL TOP,86150-M0000CA,CORPORATION  NAJEON_COVER ASSY-COWL TOP_MARKER SMUDGES (K200500966) ,SMUDGES,TRIM,EXTERIOR TRIMS,커버_카울탑,SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,마커오염,168,5,마커오염
COVER ASSY-COWL TOP,86150-M0000CA,CORPORATION  NAJEON_COVER ASSY-COWL TOP_MARKER SMUDGES (K200500966) ,SMUDGES,TRIM,EXTERIOR TRIMS,커버_카울탑,SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,마커오염,168,5,마커오염
COVER ASSY-COWL TOP,86150-M0000CA,CORPORATION  NAJEON_COVER ASSY-COWL TOP_MARKER SMUDGES (K200500966) ,SMUDGES,TRIM,EXTERIOR TRIMS,커버_카울탑,SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,마커오염,168,5,마커오염
COVER ASSY-COWL TOP,86150-M0000CA,CORPORATION  NAJEON_COVER ASSY-COWL TOP_MARKER SMUDGES (K200500966) ,SMUDGES,TRIM,EXTERIOR TRIMS,커버_카울탑,SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,마커오염,168,5,마커오염
COVER ASSY-COWL TOP,86150-M0000CA,CORPORATION  NAJEON_COVER ASSY-COWL TOP_MARKER SMUDGES (K200500966) ,SMUDGES,TRIM,EXTERIOR TRIMS,커버_카울탑,SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,마커오염,168,5,마커오염
COVER ASSY-COWL TOP,86150-M0000CA,CORPORATION  NAJEON_COVER ASSY-COWL TOP_MARKER SMUDGES (K200500966) ,SMUDGES,TRIM,EXTERIOR TRIMS,커버_카울탑,SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,마커오염,168,5,마커오염
COVER ASSY-COWL TOP,86150-M0000CA,CORPORATION  NAJEON_COVER ASSY-COWL TOP_MARKER SMUDGES (K200500966) ,SMUDGES,TRIM,EXTERIOR TRIMS,커버_카울탑,SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,마커오염,168,5,마커오염
COVER ASSY-COWL TOP,86150-M0000CA,CORPORATION  NAJEON_COVER ASSY-COWL TOP_MARKER SMUDGES (K200500966) ,SMUDGES,TRIM,EXTERIOR TRIMS,커버_카울탑,SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,마커오염,168,5,마커오염
COLUMN & UNIV/JNT ASSY-STRG,56300-R1000,BR2 - COLUMN & UNIV/JNT ASSY-STRG ABNORMAL NOISE,ABNORMAL NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,ABNORMAL NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,8,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1000,BR2 - COLUMN & UNIV/JNT ASSY-STRG - NOISE,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COVER ASSY-COWL TOP,86150-M0000CA,CORPORATION  NAJEON_COVER ASSY-COWL TOP_MARKER SMUDGES (K200500966) ,SMUDGES,TRIM,EXTERIOR TRIMS,커버_카울탑,SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,마커오염,168,5,마커오염
COVER ASSY-COWL TOP,86150-M0000CA,CORPORATION  NAJEON_COVER ASSY-COWL TOP_MARKER SMUDGES (K200500966) ,SMUDGES,TRIM,EXTERIOR TRIMS,커버_카울탑,SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,마커오염,168,5,마커오염
COLUMN & UNIV/JNT ASSY-STRG,56300-R1000,BR2 - COLUMN & UNIV/JNT ASSY-STRG - BROKEN SUBPART,BROKEN SUBPART,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,BROKEN SUBPART POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,파손,546,8,파손
COLUMN & UNIV/JNT ASSY-STRG,56300-R1000,BR2 - COLUMN & UNIV/JNT ASSY-STRG - ABNORMAL NOISE,ABNORMAL NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,ABNORMAL NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,8,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1000,BR2 - COLUMN & UNIV/JNT ASSY-STRG - ABNORMAL NOISE,ABNORMAL NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,ABNORMAL NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,8,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1000,BR2 - COLUMN & UNIV/JNT ASSY-STRG - ABNORMAL NOISE,ABNORMAL NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,ABNORMAL NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,8,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1000,BR2 - COLUMN & UNIV/JNT ASSY-STRG - ABNORMAL NOISE,ABNORMAL NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,ABNORMAL NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,8,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1000,BR2 - COLUMN & UNIV/JNT ASSY-STRG - ABNORMAL NOISE,ABNORMAL NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,ABNORMAL NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,8,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1000,BR2 - COLUMN & UNIV/JNT ASSY-STRG - ABNORMAL NOISE,ABNORMAL NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,ABNORMAL NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,8,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1000,BR2 - COLUMN & UNIV/JNT ASSY-STRG - ABNORMAL NOISE,ABNORMAL NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,ABNORMAL NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,8,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1000,BR2 - COLUMN & UNIV/JNT ASSY-STRG - ABNORMAL NOISE,ABNORMAL NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,ABNORMAL NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,8,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1000,BR2 - COLUMN & UNIV/JNT ASSY-STRG - ABNORMAL NOISE,ABNORMAL NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,ABNORMAL NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,8,노이즈
COVER ASSY-COWL TOP,86150-M0000CA,CORPORATION  NAJEON_COVER ASSY-COWL TOP_MARKER SMUDGES (K200500966) ,SMUDGES,TRIM,EXTERIOR TRIMS,커버_카울탑,SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,마커오염,168,5,마커오염
COLUMN & UNIV/JNT ASSY-STRG,56300-R1000,Bearing Noise,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1100,Tele Hard Moviment,TELE HARD MOVIMENT,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,TELE HARD MOVIMENT POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,작동무거움,2,9,버
COLUMN & UNIV/JNT ASSY-STRG,56300-R1100,Rattle noise,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1100,NOISE,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1100,NOISE,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1100,NOISE,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1100,NOISE,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1100,NOISE,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1100,NOISE,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1100,NOISE,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1100,NOISE,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1100,NOISE,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1100,NOISE,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1100,NOISE,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1100,NOISE,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1100,NOISE,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1100,NOISE,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1100,NOISE,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1100,NOISE,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1100,NOISE,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1100,NOISE,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1100,NOISE,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1100,NOISE,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1100,NOISE,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1100,NOISE,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1100,NOISE,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1100,NOISE,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1100,NOISE,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COVER ASSY-COWL TOP,86150-M0000CA,CORPORATION  NAJEON_COVER ASSY-COWL TOP_MARKER SMUDGES (K200500966) ,SMUDGES,TRIM,EXTERIOR TRIMS,커버_카울탑,SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,마커오염,168,5,마커오염
COVER ASSY-COWL TOP,86150-M0000CA,CORPORATION  NAJEON_COVER ASSY-COWL TOP_MARKER SMUDGES (K200500966) ,SMUDGES,TRIM,EXTERIOR TRIMS,커버_카울탑,SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,마커오염,168,5,마커오염
COVER ASSY-COWL TOP,86150-M0000CA,CORPORATION  NAJEON_COVER ASSY-COWL TOP_MARKER SMUDGES (K200500966) ,SMUDGES,TRIM,EXTERIOR TRIMS,커버_카울탑,SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,마커오염,168,5,마커오염
COVER ASSY-COWL TOP,86150-M0000CA,CORPORATION  NAJEON_COVER ASSY-COWL TOP_MARKER SMUDGES (K200500966) ,SMUDGES,TRIM,EXTERIOR TRIMS,커버_카울탑,SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,마커오염,168,5,마커오염
COVER ASSY-COWL TOP,86150-M0000CA,CORPORATION  NAJEON_COVER ASSY-COWL TOP_MARKER SMUDGES (K200500966) ,SMUDGES,TRIM,EXTERIOR TRIMS,커버_카울탑,SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,마커오염,168,5,마커오염
COVER ASSY-COWL TOP,86150-M0000CA,CORPORATION  NAJEON_COVER ASSY-COWL TOP_MARKER SMUDGES (K200500966) ,SMUDGES,TRIM,EXTERIOR TRIMS,커버_카울탑,SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,마커오염,168,5,마커오염
COVER ASSY-COWL TOP,86150-M0000CA,CORPORATION  NAJEON_COVER ASSY-COWL TOP_MARKER SMUDGES (K200500966) ,SMUDGES,TRIM,EXTERIOR TRIMS,커버_카울탑,SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,마커오염,168,5,마커오염
COVER ASSY-COWL TOP,86150-M0000CA,CORPORATION  NAJEON_COVER ASSY-COWL TOP_MARKER SMUDGES (K200500966) ,SMUDGES,TRIM,EXTERIOR TRIMS,커버_카울탑,SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,마커오염,168,5,마커오염
COVER ASSY-COWL TOP,86150-M0000CA,CORPORATION  NAJEON_COVER ASSY-COWL TOP_MARKER SMUDGES (K200500966) ,SMUDGES,TRIM,EXTERIOR TRIMS,커버_카울탑,SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,마커오염,168,5,마커오염
COVER ASSY-COWL TOP,86150-M0000CA,CORPORATION  NAJEON_COVER ASSY-COWL TOP_MARKER SMUDGES (K200500966) ,SMUDGES,TRIM,EXTERIOR TRIMS,커버_카울탑,SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,마커오염,168,5,마커오염
COLUMN & UNIV/JNT ASSY-STRG,56300-R1100,BR2 - COLUMN & UNIV/JNT ASSY-STRG- ABNORMAL NOISE,ABNORMAL NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,ABNORMAL NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,8,노이즈
COVER ASSY-COWL TOP,86150-M0000CA,CORPORATION  NAJEON_COVER ASSY-COWL TOP_MARKER SMUDGES (K200500966) ,SMUDGES,TRIM,EXTERIOR TRIMS,커버_카울탑,SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,마커오염,168,5,마커오염
COLUMN & UNIV/JNT ASSY-STRG,56300-R1100,BR2 - COLUMN & UNIV/JNT ASSY-STRG - ABNORMAL NOISE,ABNORMAL NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,ABNORMAL NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,8,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1100,BR2 - COLUMN & UNIV/JNT ASSY-STRG - ABNORMAL NOISE,ABNORMAL NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,ABNORMAL NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,8,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1100,BR2 - COLUMN & UNIV/JNT ASSY-STRG - ABNORMAL NOISE,ABNORMAL NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,ABNORMAL NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,8,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1100,BR2 - COLUMN & UNIV/JNT ASSY-STRG - ABNORMAL NOISE,ABNORMAL NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,ABNORMAL NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,8,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1100,BR2 - COLUMN & UNIV/JNT ASSY-STRG - ABNORMAL NOISE,ABNORMAL NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,ABNORMAL NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,8,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1200,Rattle noise,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1200,Rattle Noise,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1200,NOISE,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1200,NOISE,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1200,NOISE,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1200,NOISE,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1200,NOISE,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1200,NOISE,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1200,NOISE,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1200,NOISE,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1200,NOISE,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1200,NOISE,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1200,NOISE,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1200,NOISE,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
COLUMN & UNIV/JNT ASSY-STRG,56300-R1200,NOISE,NOISE,POWER TRAIN & CHASSIS-ETC,STEERING SYSTEM,컬럼&유니버셜조인트_스티어링,NOISE POWER TRAIN CHASSISETC STEERING SYSTEM 컬럼유니버셜조인트스티어링,노이즈,404,7,노이즈
