data,encoded_target
LINES BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
LINES BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
POLLUTION BODY REAR END CODY 판넬트렁크리드아웃터로워,24
DENT BODY REAR END CODY 판넬트렁크리드아웃터로워,6
DENT BODY REAR END CODY 판넬트렁크리드아웃터로워,6
SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,24
CRACK BODY REAR END CODY 판넬인사이드램프마운팅,11
CRACK BODY REAR END CODY 판넬인사이드램프마운팅,11
CRACK BODY REAR END CODY 판넬인사이드램프마운팅,11
CRACK BODY REAR END CODY 판넬인사이드램프마운팅,11
CRACK BODY REAR END CODY 판넬인사이드램프마운팅,11
CRACK BODY REAR END CODY 판넬인사이드램프마운팅,11
CRACK BODY REAR END CODY 판넬인사이드램프마운팅,11
CRACK BODY REAR END CODY 판넬인사이드램프마운팅,11
CRACK BODY REAR END CODY 판넬인사이드램프마운팅,11
CRACK BODY REAR END CODY 판넬인사이드램프마운팅,11
CRACK BODY REAR END CODY 판넬인사이드램프마운팅,11
CRACK BODY REAR END CODY 판넬인사이드램프마운팅,11
CRACK BODY REAR END CODY 판넬인사이드램프마운팅,11
CRACK BODY REAR END CODY 판넬인사이드램프마운팅,11
CRACK BODY REAR END CODY 판넬인사이드램프마운팅,11
CRACK BODY REAR END CODY 판넬인사이드램프마운팅,11
CRACK BODY REAR END CODY 판넬인사이드램프마운팅,11
MISSING HOLES BODY REAR END CODY 판넬인사이드램프마운팅,16
SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,24
DEFORMATION BODY REAR END CODY 퓨엘필러도어,74
DEFORMATION BODY REAR END CODY 퓨엘필러도어,74
DEFORMATION BODY REAR END CODY 퓨엘필러도어,74
DEFORMATION BODY REAR END CODY 퓨엘필러도어,74
DEFORMATION BODY REAR END CODY 퓨엘필러도어,74
DEFORMATION BODY REAR END CODY 퓨엘필러도어,74
SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,24
WRONG ASSEMBLY BODY REAR END CODY 퓨엘필러도어,41
BROKEN BODY REAR END CODY 퓨엘필러도어,11
BROKEN BODY REAR END CODY 퓨엘필러도어,11
SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,24
SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,24
SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,24
CRACK BODY REAR END CODY 퓨엘필러도어,11
SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,24
BROKEN BODY REAR END CODY 판넬퓨엘필러도어아웃터,11
BROKEN BODY REAR END CODY 판넬퓨엘필러도어아웃터,11
BROKEN BODY REAR END CODY 판넬퓨엘필러도어아웃터,11
BROKEN BODY REAR END CODY 판넬퓨엘필러도어아웃터,11
BROKEN BODY REAR END CODY 판넬퓨엘필러도어아웃터,11
BROKEN BODY REAR END CODY 판넬퓨엘필러도어아웃터,11
MISSING SUBPART BODY REAR END CODY 하우징퓨엘필러도어,5
MISSING MATERIAL BODY REAR END CODY 하우징퓨엘필러도어,4
SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,24
SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,24
MISSING SUBPART BODY REAR END CODY 하우징퓨엘필러도어,5
MISSING MATERIAL BODY REAR END CODY 하우징퓨엘필러도어,4
MISSING MATERIAL BODY REAR END CODY 하우징퓨엘필러도어,4
MISSING MATERIAL BODY REAR END CODY 하우징퓨엘필러도어,4
MISSING SUBPART BODY REAR END CODY 하우징퓨엘필러도어,5
MISSING SUBPART BODY REAR END CODY 하우징퓨엘필러도어,5
SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,24
SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,24
MISSING SUBPART BODY REAR END CODY 하우징퓨엘필러도어,5
MISSING SUBPART BODY REAR END CODY 하우징퓨엘필러도어,5
SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,24
DEFORMATION BODY SIDE BODY 브라켓휀더로워마운팅,8
SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,24
DEFORMATION BODY SIDE BODY 브라켓휀더로워마운팅,8
NUT CAT BODY SIDE BODY 익스텐션카울사이드,34
SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,24
MIXED MATERIAL BODY SIDE BODY 익스텐션카울사이드,2
SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,24
SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,24
PART CRACKED BODY SIDE BODY 익스텐션카울사이드,11
PART CRACKED BODY SIDE BODY 익스텐션카울사이드,11
SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,24
INDUSTRIAL DEFORMATION BODY SIDE BODY 하우징퓨엘필러,8
CRACK BODY SIDE BODY 하우징퓨엘필러,11
SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,24
MISMATCH PART LEVEL BODY SIDE BODY 판넬쿼터인너어퍼,34
찍힘 BODY SIDE BODY 판넬휠하우스인너,6
WRONG WELDING POSITION NUT BODY SIDE BODY 레인프테일게이트힌지,34
NUT WRONG POSITION BODY SIDE BODY 레인프테일게이트힌지,34
SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,24
WRONG WELDING POSITION BODY SIDE BODY 레인프테일게이트힌지,34
NUT WRONG POSITION BODY SIDE BODY 레인프테일게이트힌지,34
PART DIMENSIONAL PROBLEM BODY SIDE BODY 브라켓테일게이트램프,10
PART DIMENSIONAL PROBLEM BODY SIDE BODY 브라켓테일게이트램프,10
DAMAGE BODY SIDE BODY(WAGON) 판넬힌지테일게이트,6
DEFORMATION BODY SIDE BODY(WAGON) 판넬테일게이트아웃터로워,8
POLLUTION BODY SIDE BODY(WAGON) 판넬테일게이트아웃터로워,24
WRONG DIMS BODY SIDE BODY(WAGON) 레일테일게이트아웃터,10
MISSING HOLES BODY SIDE BODY(WAGON) 레인프테일게이트랫치,16
MISSING HOLES BODY SIDE BODY(WAGON) 레인프테일게이트랫치,16
DEFORMATION BODY SIDE BODY(WAGON) 레인프테일게이트사이드리프터,8
SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,24
MISSING SLOT BODY SIDE BODY(WAGON) 레인프테일게이트와이퍼,16
HOLE 누락 BODY SIDE BODY(WAGON) 레인프테일게이트와이퍼,16
HOLE 누락 BODY SIDE BODY(WAGON) 레인프테일게이트와이퍼,16
HOLE 누락 BODY SIDE BODY(WAGON) 레인프테일게이트와이퍼,16
WRONG WELDED NUT BODY SIDE BODY(WAGON) 브라켓테일게이트윈도우모터,34
MISSING NUT BODY SIDE BODY(WAGON) 브라켓테일게이트윈도우모터,5
MISSING NUT BODY SIDE BODY(WAGON) 브라켓테일게이트윈도우모터,5
MISSING NUT BODY SIDE BODY(WAGON) 브라켓테일게이트윈도우모터,5
MISSING NUT BODY SIDE BODY(WAGON) 브라켓테일게이트윈도우모터,5
MISSING NUT BODY SIDE BODY(WAGON) 브라켓테일게이트윈도우모터,5
MISSING NUT BODY SIDE BODY(WAGON) 브라켓테일게이트윈도우모터,5
MISSING NUT BODY SIDE BODY(WAGON) 브라켓테일게이트윈도우모터,5
WRONG POSITION NUT BODY SIDE BODY(WAGON) 브라켓테일게이트윈도우모터,34
RUST BODY SIDE BODY(WAGON) 브라켓테일게이트윈도우모터,29
SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,24
WRONG NUT POSITON BODY SIDE BODY(WAGON) 레인프테일게이트다이내믹댐퍼,34
SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,24
웰딩 프레스 PROBLEM BODY SIDE BODY(WAGON) 레인프트윈스윙센터스트라이커,75
CRACK BODY SIDE BODY(WAGON) 브라켓테일게이트램프,11
CRACK BODY SIDE BODY(WAGON) 브라켓테일게이트램프,11
CRACK BODY SIDE BODY(WAGON) 브라켓테일게이트램프,11
BURR BODY SIDE BODY(WAGON) 브라켓테일게이트램프,66
nan,5
DAMAGE BODY DOOR FRONT 판넬도어,8
BEND BODY DOOR FRONT 판넬도어,8
BEND BODY DOOR FRONT 판넬도어,8
DAMAGE BODY DOOR FRONT 판넬도어,8
BEND BODY DOOR FRONT 판넬도어,8
BEND BODY DOOR FRONT 판넬도어,8
SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,24
DEFORMATION BODY DOOR FRONT 레일도어벨트아웃터,8
WRG DIMS BODY DOOR FRONT 레일도어벨트아웃터,10
SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,24
SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,24
SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,24
MISSING NUT BODY DOOR FRONT 브라켓도어힌지마운팅,5
SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,24
SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,24
WRONG DIMS BODY DOOR FRONT 레인프도어힌지페이스,10
POLLUTION RUST BODY DOOR FRONT 레인프도어힌지페이스,24
SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,24
SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,24
덴트 BODY DOOR REAR 판넬도어범퍼SLR,6
DAMAGE BODY DOOR REAR 판넬도어,8
DAMAGE BODY DOOR REAR 판넬도어,8
BEND BODY DOOR REAR 판넬도어,8
BEND BODY DOOR REAR 판넬도어,8
BEND BODY DOOR REAR 판넬도어,8
WRONG DIMS IMPOSSIBLE BODY DOOR REAR 레인프도어랫치,10
WRONG DIMS IMPOSSIBLE BODY DOOR REAR 레인프도어랫치,10
WRONG DIMS IMPOSSIBLE BODY DOOR REAR 레인프도어랫치,10
WRONG DIMS IMPOSSIBLE BODY DOOR REAR 레인프도어랫치,10
WRONG DIMS IMPOSSIBLE BODY DOOR REAR 레인프도어랫치,10
MISSING HOLES BODY DOOR REAR 레인프도어힌지페이스,16
SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,24
WRONG GEOMETRY BODY HINGE/SUPPORT 힌지후드,8
SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,24
MATERIAL BODY HINGE/SUPPORT 힌지후드,2
PHA DIMENSION PROBLEM BODY HINGE/SUPPORT 힌지후드,10
PHA DIMENSION PROBLEM BODY HINGE/SUPPORT 힌지후드,10
NUT HOLE NOT MATCHING BODY HINGE/SUPPORT 레인프후드사이드힌지,34
SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,24
WELDING NUT MSG BODY HINGE/SUPPORT 레인프후드사이드힌지,5
MISSING HOLE BODY HINGE/SUPPORT 힌지트렁크리드,16
MISSING HOLE BODY HINGE/SUPPORT 힌지트렁크리드,16
SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,24
RUST PROBLEM BODY HINGE/SUPPORT 힌지도어어퍼,29
WRG DIMS BODY HINGE/SUPPORT 힌지도어,10
PART RUSTY BODY HINGE/SUPPORT 힌지도어로워,29
WRG DIMS BODY HINGE/SUPPORT 힌지도어로워,10
WRG DIMS BODY HINGE/SUPPORT 힌지도어로워,10
PART RUSTY BODY HINGE/SUPPORT 힌지도어,29
WRONG PART BODY HINGE/SUPPORT 힌지도어,2
WRG DIMS BODY HINGE/SUPPORT 힌지도어,10
SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,24
WRONG PART BODY HINGE/SUPPORT 힌지도어어퍼,2
PART DEFORMATION BODY HINGE/SUPPORT 힌지도어어퍼,20
WRONG DIMS BODY HINGE/SUPPORT 힌지도어어퍼,10
WRG DIMS BODY HINGE/SUPPORT 힌지도어어퍼,10
WRG DIMS BODY HINGE/SUPPORT 힌지도어어퍼,10
DEFORMATION BODY HINGE/SUPPORT 힌지도어어퍼,8
WRONG DIMS BODY HINGE/SUPPORT 힌지도어어퍼,10
GAP PROBLEM BODY HINGE/SUPPORT 힌지도어어퍼,38
GAP PROBLEM BODY HINGE/SUPPORT 힌지도어어퍼,38
GAP PROBLEM BODY HINGE/SUPPORT 힌지도어어퍼,38
SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,24
MIXED PART BODY HINGE/SUPPORT 체커도어,2
SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,24
HOLE POSITION BODY HINGE/SUPPORT 체커도어,10
HOLE POSITION BODY HINGE/SUPPORT 체커도어,10
HOLE POSITION BODY HINGE/SUPPORT 체커도어,10
WRONG POSITION NUT BODY HINGE/SUPPORT 레인프테일게이트힌지사이드,34
SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,24
MISSING NUTS BODY HINGE/SUPPORT 레인프테일게이트힌지,5
WRONG DIMS BODY HINGE/SUPPORT 레인프테일게이트,10
WRONG DIMS BODY HINGE/SUPPORT 레인프테일게이트,10
MISSING NUT BODY HINGE/SUPPORT 레인프테일게이트,5
WRONG POSITION NUT BODY HINGE/SUPPORT 레인프테일게이트,34
MISSING NUT BODY HINGE/SUPPORT 레인프테일게이트,5
RUST BODY HINGE/SUPPORT 레인프테일게이트힌지,29
RUST BODY HINGE/SUPPORT 레인프테일게이트힌지,29
WRONG POSITION NUT BODY HINGE/SUPPORT 레인프테일게이트,34
nan,19
nan,19
nan,25
SMUDGES TRIM EXTERIOR TRIMS 커버카울탑,24
MARKING PROBLEM TRIM EXTERIOR TRIMS 커버카울탑,24
nan,19
nan,19
nan,19
nan,19
nan,19
nan,19
nan,76
nan,77
SUBPART PROBLEM TRIM EXTERIOR TRIMS 플러쉬윈도우,5
nan,11
nan,11
SUBPART PROBLEM TRIM EXTERIOR TRIMS 글라스픽스드,5
nan,8
nan,5
nan,13
nan,11
nan,11
nan,11
nan,11
SUBPART PROBLEM TRIM LOCKS OPENING LINKS 키셋서플라이키트,5
nan,2
SUBPART PROBLEM ELECTRICAL LAMPS 램프헤드,5
nan,5
ORIENTATION WRONG TRIM INTERIOR TRIMS 커버휀더사이드,34
WRONG PART TRIM EXTERIOR TRIMS 커버포그램프,2
WRONG PART TRIM EXTERIOR TRIMS 커버포그램프,2
WRONG PART TRIM EXTERIOR TRIMS 커버포그램프,2
WRONG SPECIFICATION TRIM LOCKS OPENING LINKS 랫치후드,2
WRONG SPECIFICATION TRIM LOCKS OPENING LINKS 랫치후드,2
WRONG PART TRIM EXTERIOR TRIMS 커버포그램프,2
WRONG PART TRIM EXTERIOR TRIMS 커버포그램프,2
BROKEN TRIM LOCKS OPENING LINKS 후크레버후드,11
WRONG DIMS TRIM LOCKS OPENING LINKS 볼조인트후드리프터,10
WRONG DIMS TRIM LOCKS OPENING LINKS 볼조인트후드리프터,10
MIXED PART TRIM LOCKS OPENING LINKS 볼조인트후드리프터,2
WRONG PART TRIM EXTERIOR TRIMS 커버포그램프,2
INJECTION FAULT TRIM EXTERIOR TRIMS 커버루프랙,19
MOLD DEFECT TRIM EXTERIOR TRIMS 커버루프랙,30
MOLD DEFECT TRIM EXTERIOR TRIMS 커버루프랙,8
PAINT DEFECT TRIM EXTERIOR TRIMS 커버루프랙,65
SCRATCH PROBLEM TRIM LOCKS OPENING LINKS 스트라이커테일게이트,23
INOP TRIM LOCKS OPENING LINKS 파워랫치테일게이트,13
BROKEN TRIM LOCKS OPENING LINKS 파워랫치테일게이트,11
MALFUNCTION TRIM LOCKS OPENING LINKS 랫치트렁크리드,13
MALFUNCTION TRIM LOCKS OPENING LINKS 랫치트렁크리드,13
MALFUNCTION TRIM LOCKS OPENING LINKS 랫치트렁크리드,13
MALFUNCTION TRIM LOCKS OPENING LINKS 랫치트렁크리드,13
MALFUNCTION TRIM LOCKS OPENING LINKS 랫치트렁크리드,13
MALFUNCTION TRIM LOCKS OPENING LINKS 랫치트렁크리드,13
PAINT DEFECT TRIM EXTERIOR TRIMS 커버루프랙,65
ASSEMBLY PROBLEM TRIM EXTERIOR TRIMS 커버루프랙,38
NOT TRIM LOCKS OPENING LINKS 핸들스위치테일게이트아웃사이드,13
FUNCTION PROBLEM TRIM LOCKS OPENING LINKS 랫치도어,13
INJECTION FAULT TRIM EXTERIOR TRIMS 커버루프랙,19
INJECTION FAULT WHITENESS TRIM EXTERIOR TRIMS 커버루프랙,30
PAINT PROBLEM TRIM EXTERIOR TRIMS 커버루프랙,65
BUBBLE TRIM EXTERIOR TRIMS 커버루프랙,65
MOLD DEFECT TRIM EXTERIOR TRIMS 커버루프랙,8
DIMENSION PORBLEM TRIM EXTERIOR TRIMS 커버루프랙,38
DIMENSION PORBLEM TRIM EXTERIOR TRIMS 커버루프랙,38
DIMENSION PORBLEM TRIM EXTERIOR TRIMS 커버루프랙,38
